id;matchDay;date;time;clubIdHome;clubIdGuest;goalsHome;goalsGuest
1;1;18.08.2023;18:30;1;2;0;4
2;1;19.08.2023;13:30;3;4;3;2
3;1;19.08.2023;13:30;5;6;2;0
4;1;19.08.2023;13:30;7;8;1;2
5;1;19.08.2023;13:30;9;10;4;4
6;1;19.08.2023;13:30;11;12;5;0
7;1;19.08.2023;16:30;13;14;1;0
8;1;20.08.2023;13:30;15;16;4;1
9;1;20.08.2023;15:30;17;18;1;0
10;2;25.08.2023;18:30;4;11;5;1
11;2;26.08.2023;13:30;8;1;1;0
12;2;26.08.2023;13:30;14;5;1;2
13;2;26.08.2023;13:30;12;13;1;1
14;2;26.08.2023;13:30;6;7;2;3
15;2;26.08.2023;13:30;18;15;1;4
16;2;26.08.2023;16:30;10;3;0;3
17;2;27.08.2023;13:30;16;17;1;1
18;2;27.08.2023;15:30;2;9;3;1
19;3;01.09.2023;18:30;13;6;2;2
20;3;02.09.2023;13:30;3;18;5;1
21;3;02.09.2023;13:30;7;5;3;1
22;3;02.09.2023;13:30;1;16;4;0
23;3;02.09.2023;13:30;9;12;2;2
24;3;02.09.2023;13:30;11;8;5;0
25;3;02.09.2023;16:30;10;2;1;2
26;3;03.09.2023;13:30;17;14;1;1
27;3;03.09.2023;15:30;15;4;0;3
28;4;15.09.2023;18:30;2;3;2;2
29;4;16.09.2023;13:30;4;9;3;0
30;4;16.09.2023;13:30;8;13;2;4
31;4;16.09.2023;13:30;5;15;2;1
32;4;16.09.2023;13:30;16;11;1;3
33;4;16.09.2023;13:30;14;7;1;3
34;4;16.09.2023;16:30;12;17;1;1
35;4;17.09.2023;13:30;6;1;4;2
36;4;17.09.2023;15:30;18;10;3;3
37;5;22.09.2023;18:30;11;18;3;1
38;5;23.09.2023;13:30;2;12;7;0
39;5;23.09.2023;13:30;13;5;1;0
40;5;23.09.2023;13:30;15;7;0;2
41;5;23.09.2023;13:30;10;4;0;1
42;5;23.09.2023;13:30;9;16;2;1
43;5;23.09.2023;16:30;1;14;2;1
44;5;24.09.2023;13:30;3;6;4;1
45;5;24.09.2023;15:30;17;8;0;0
46;6;29.09.2023;18:30;7;13;1;3
47;6;30.09.2023;13:30;5;17;2;0
48;6;30.09.2023;13:30;16;3;0;3
49;6;30.09.2023;13:30;14;11;0;2
50;6;30.09.2023;13:30;12;10;1;3
51;6;30.09.2023;13:30;6;15;1;0
52;6;30.09.2023;16:30;4;2;2;2
53;6;01.10.2023;13:30;18;1;4;2
54;6;01.10.2023;15:30;8;9;2;0
55;7;06.10.2023;18:30;10;16;2;2
56;7;07.10.2023;13:30;13;15;4;2
57;7;07.10.2023;13:30;4;12;0;0
58;7;07.10.2023;13:30;9;18;1;2
59;7;07.10.2023;13:30;11;5;3;1
60;7;07.10.2023;16:30;1;7;2;3
61;7;08.10.2023;13:30;3;14;3;0
62;7;08.10.2023;15:30;2;8;3;0
63;7;08.10.2023;17:30;17;6;2;0
64;8;20.10.2023;18:30;13;1;1;0
65;8;21.10.2023;13:30;15;11;0;3
66;8;21.10.2023;13:30;8;12;2;1
67;8;21.10.2023;13:30;5;3;1;2
68;8;21.10.2023;13:30;7;17;1;3
69;8;21.10.2023;13:30;18;4;1;3
70;8;21.10.2023;16:30;16;2;1;3
71;8;22.10.2023;13:30;14;10;3;1
72;8;22.10.2023;15:30;6;9;2;5
73;9;27.10.2023;18:30;12;16;2;2
74;9;28.10.2023;13:30;2;18;8;0
75;9;28.10.2023;13:30;10;6;2;1
76;9;28.10.2023;13:30;1;15;2;0
77;9;28.10.2023;13:30;9;5;3;2
78;9;28.10.2023;13:30;11;7;2;3
79;9;28.10.2023;16:30;4;14;6;0
80;9;29.10.2023;14:30;17;13;3;3
81;9;29.10.2023;16:30;3;8;2;1
82;10;03.11.2023;19:30;18;12;1;2
83;10;04.11.2023;14:30;15;17;0;3
84;10;04.11.2023;14:30;8;10;3;3
85;10;04.11.2023;14:30;16;4;2;0
86;10;04.11.2023;14:30;14;9;1;1
87;10;04.11.2023;14:30;7;3;2;3
88;10;04.11.2023;17:30;13;2;0;4
89;10;05.11.2023;14:30;5;1;2;2
